Number,First Name,Last Name,Position,Weight,Height,Hometown,Class,High School
15,Dominik,Bartecko,Forward,175,5-9,"Nashville, Tn.",Sophomore,New Jersey Titans (NAHL)
11,Barrett,Brooks,Forward,170,5-7,"Stevens Point, Wi.",Senior,Madison Capitals (USHL)
44,Simon,Bucheler,Goaltender,190,6-2,"Saint-Laurent, Qc.",Junior,Shreveport Mudbugs (NAHL)
16,Ryan,Coughlin,Forward,180,6-0,"Charlotte, N.C.",Senior,New Jersey Jr. Titans (NAHL)
7,Tyler,DesRochers,Defense,180,6-0,"Howell, N.J.",Junior,Johnstown Tomahawks (NAHL)
24,Matteo,Disipio,Forward,170,6-0,"Ottawa, Ont.",Sophomore,Rochester Jr Americans (NAHL)
19,Riley,Fitzgerald,Forward,165,5-10,"Wilmington, MA",Sophomore,New Jersey Titans (NAHL)
9,Sean,James,Forward,197,6-0,"Almonte, Ont.",Junior,Smith's Falls Bears (CCHL)
23,Christian,Kocsis,Forward,174,5-10,"Middletown, NJ",Sophomore,Omaha Lancers (USHL)
8,Brendan,Lamb,Forward,180,5-10,"Battle Creek, Mi",Sophomore,Madison Capitols (USHL)
20,Kaden,Muir,Defense,190,6-2,"Toronto, Ont.",Sophomore,Austin Bruins (NAHL)
28,Tyler,Nasca,Defense,175,5-10,"Wheatfield, N.Y.",Senior,Lone Star Brahmas (NAHL)
37,Connor,Pelc,Forward,190,6-2,"Hamburg, N.Y.",Junior,Sioux Falls Stampede (USHL)
5,Caleb,Price,Defense,175,5-10,"Hooksett, N.H.",Graduate Student,New Jersey Jr. Titans (NAHL)
6,Trent,Sambrook,Defense,170,5-10,"Medora, Man.",Junior,Winkler Flyers (MJHL)
26,Spencer,Smith,Forward,175,5-9,"St. Catharines, Ont.",Junior,Penticton Vees (BCHL)
4,Jaryd,Sych,Defense,205,6-2,"Riceton, Sa.",Junior,Notre Dame Hounds (SJHL)
18,Jacob,LeBlanc,Defense,192,6-1,"Wainfleet, Ontario",Freshman,North Bay Battalion (OHL)
14,Andrew,LeBlanc,Forward,186,6-0,"Wainfleet, Ontario",Freshman,North Bay Battalion (OHL)
22,Noah,Sedore,Forward,170,5-9,"Sharon, Ontario",Junior,Erie Otters (OHL)
34,Joey,Serpa,Forward,170,6-1,"Cambridge, Ontario",Junior,Oshawa General (OHL)
43,Tyler,Haskins,Forward,190,6-1,"Rochester, Minn.",Redshirt Senior,Minnesota State (CCHA)
21,Will,Schumacher,Forward,175,5-11,"Prior Lake, Minn.",Freshman,Victoria Grizzlies (BCHL)
3,John,Larkin,Defense,195,6-2,"Northville, Mich.",Senior,Ohio State (BIG 10)
27,Alexander,Dimitriadis,Forward,180,5-10,"Richmond Hill, Ontario",Freshman,Sherwood Park Crusaders (BCHL)
2,Lukas,Klemm,Defense,200,6-1,"Stamford, Conn.",Freshman,Johnstown Tomahawks (NAHL)
10,Francesco,Iasenza,Defense,208,6-1,"Montréal, Québec",Freshman,Victoriaville Tigres (QMJHL)
33,Salvatore,Evola,Goaltender,175,5-11,"Rochester, Mich.",Senior,Johnstown Tomahawks (NAHL)
29,Charles-Edward,Gravel,Goaltender,197,6-1,"Lévis, Quebec",Freshman,Prince George Spruce Kings (BCHL)
1,Henry,Hunt,Goaltender,200,6-2,"Cedarburg, Wis.",Freshman,Potomac Patriots
